iter	Passed	Remaining
434	1617	2100
435	1619	2095
436	1622	2089
437	1624	2084
438	1626	2078
439	1628	2073
440	1633	2071
441	1637	2067
442	1640	2062
443	1642	2056
444	1644	2051
445	1647	2046
446	1650	2041
447	1653	2037
448	1655	2031
449	1657	2026
450	1659	2020
451	1664	2017
452	1668	2014
453	1670	2009
454	1673	2003
455	1675	1998
456	1678	1994
457	1681	1990
458	1684	1985
459	1686	1979
460	1689	1974
461	1691	1969
462	1696	1967
463	1699	1963
464	1701	1957
465	1704	1952
466	1706	1947
467	1708	1942
468	1712	1938
469	1714	1933
470	1716	1928
471	1719	1923
472	1721	1917
473	1725	1915
474	1729	1911
475	1734	1909
476	1738	1905
477	1743	1903
478	1747	1901
479	1751	1897
480	1753	1891
481	1758	1889
482	1762	1886
483	1764	1881
484	1766	1876
485	1770	1872
486	1774	1869
487	1777	1864
488	1779	1859
489	1781	1854
490	1784	1849
491	1789	1847
492	1793	1844
493	1796	1839
494	1798	1834
495	1800	1829
496	1802	1824
497	1805	1820
498	1807	1814
499	1809	1809
500	1811	1804
501	1814	1799
502	1816	1794
503	1818	1789
504	1820	1784
505	1822	1779
506	1824	1774
507	1826	1769
508	1829	1764
509	1831	1759
510	1833	1754
511	1836	1749
512	1838	1745
513	1840	1740
514	1842	1735
515	1844	1730
516	1848	1727
517	1851	1723
518	1854	1718
519	1856	1713
520	1858	1708
521	1860	1704
522	1863	1699
523	1865	1694
524	1867	1689
525	1869	1684
526	1871	1680
527	1873	1675
528	1876	1670
529	1878	1665
530	1880	1661
531	1882	1656
532	1885	1651
533	1887	1647
534	1889	1642
535	1891	1637
536	1894	1633
537	1917	1646
538	1923	1644
539	1926	1641
540	1932	1639
541	1938	1638
542	1942	1635
543	1948	1633
544	1952	1630
545	1956	1626
546	1960	1623
547	1965	1620
548	1968	1617
549	1971	1612
550	1973	1608
551	1978	1605
552	1981	1601
553	1984	1597
554	1986	1592
555	1989	1588
556	1993	1585
557	1997	1582
558	2001	1578
559	2003	1574
560	2007	1571
561	2012	1568
562	2015	1564
563	2017	1560
564	2020	1555
565	2024	1552
566	2029	1549
567	2032	1545
568	2034	1541
569	2037	1537
570	2040	1532
571	2042	1528
572	2044	1523
573	2046	1518
574	2048	1514
575	2050	1509
576	2053	1505
577	2055	1500
578	2057	1495
579	2060	1491
580	2061	1487
581	2064	1482
582	2066	1477
583	2068	1473
584	2070	1468
585	2072	1464
586	2074	1459
587	2077	1455
588	2079	1450
589	2081	1446
590	2083	1442
591	2085	1437
592	2088	1433
593	2090	1428
594	2092	1424
595	2094	1419
596	2096	1415
597	2098	1410
598	2100	1406
599	2102	1401
600	2104	1397
601	2108	1393
602	2112	1390
603	2116	1387
604	2120	1384
605	2124	1381
606	2127	1377
607	2130	1373
608	2132	1369
609	2135	1365
610	2137	1361
611	2140	1356
612	2142	1352
613	2144	1348
614	2146	1343
615	2149	1339
616	2152	1336
617	2154	1331
618	2156	1327
619	2159	1323
620	2161	1319
621	2163	1314
622	2166	1310
623	2168	1306
624	2170	1302
625	2173	1298
626	2175	1294
627	2177	1289
628	2179	1285
629	2181	1281
630	2183	1276
631	2185	1272
632	2188	1268
633	2190	1264
634	2192	1260
635	2195	1256
636	2198	1252
637	2200	1248
638	2203	1244
639	2205	1240
640	2208	1237
641	2211	1232
642	2212	1228
643	2215	1224
644	2217	1220
645	2219	1216
646	2221	1212
647	2224	1208
648	2227	1204
649	2229	1200
650	2232	1196
651	2234	1192
652	2236	1188
653	2240	1185
654	2242	1181
655	2245	1177
656	2247	1173
657	2250	1169
658	2252	1165
659	2255	1161
660	2257	1157
661	2259	1153
662	2262	1150
663	2264	1145
664	2266	1141
665	2268	1137
666	2272	1134
667	2276	1131
668	2278	1127
669	2280	1123
670	2282	1119
671	2285	1115
672	2288	1111
673	2290	1108
674	2293	1104
675	2295	1100
676	2298	1096
677	2302	1093
678	2307	1090
679	2312	1088
680	2318	1086
681	2324	1083
682	2329	1081
683	2334	1078
684	2338	1075
685	2342	1072
686	2347	1069
687	2351	1066
688	2355	1063
689	2360	1060
690	2364	1057
691	2368	1054
692	2373	1051
693	2376	1047
694	2379	1044
695	2382	1040
696	2384	1036
697	2386	1032
698	2388	1028
699	2390	1024
700	2392	1020
701	2394	1016
702	2397	1012
703	2399	1008
704	2401	1005
705	2403	1001
706	2406	997
707	2408	993
708	2410	989
709	2412	985
710	2414	981
711	2416	977
712	2418	973
713	2421	969
714	2423	965
715	2425	962
716	2427	958
717	2430	954
718	2432	950
719	2434	946
720	2436	942
721	2438	939
722	2441	935
723	2443	931
724	2445	927
725	2448	924
726	2451	920
727	2453	916
728	2455	912
729	2458	909
730	2460	905
731	2462	901
732	2465	898
733	2467	894
734	2470	890
735	2473	887
736	2475	883
737	2477	879
738	2479	875
739	2482	872
740	2485	868
741	2489	865
742	2493	862
743	2498	859
744	2502	856
745	2505	853
746	2508	849
747	2510	845
748	2513	842
749	2515	838
750	2518	835
751	2521	831
752	2523	827
753	2525	824
754	2528	820
755	2530	816
756	2533	813
757	2536	809
758	2539	806
759	2541	802
760	2544	799
761	2546	795
762	2549	792
763	2552	788
764	2554	784
765	2556	781
766	2558	777
767	2561	773
768	2564	770
769	2567	766
770	2569	763
771	2571	759
772	2573	755
773	2576	752
774	2580	749
775	2582	745
776	2584	741
777	2586	738
778	2589	734
779	2592	731
780	2596	728
781	2599	724
782	2601	720
783	2604	717
