iter	Recall	Logloss
265	0.8267949667	0.4818736681
266	0.8267949667	0.4818576249
267	0.8267949667	0.481740288
268	0.8267949667	0.481650366
269	0.8260547742	0.4815393347
270	0.8267949667	0.4814133971
271	0.8267949667	0.4813230255
272	0.8267949667	0.4812398568
273	0.8267949667	0.4811583891
274	0.8260547742	0.4810514246
275	0.8267949667	0.4809777334
276	0.8260547742	0.4808502488
277	0.8260547742	0.4807864897
278	0.8253145818	0.480682546
279	0.8253145818	0.4805737286
280	0.8253145818	0.4804492033
281	0.8253145818	0.4803529816
282	0.8253145818	0.4803034945
283	0.8260547742	0.4802211538
284	0.8260547742	0.4801236967
285	0.8260547742	0.4800286802
286	0.8260547742	0.4799407322
287	0.8253145818	0.4798501376
288	0.8245743893	0.4797677688
289	0.8245743893	0.4796477922
290	0.8245743893	0.4795933499
291	0.8245743893	0.4794878057
292	0.8245743893	0.4794171503
293	0.8245743893	0.4793511486
294	0.8253145818	0.4792772388
295	0.8253145818	0.4792077519
296	0.8253145818	0.4790963768
297	0.8260547742	0.4790368266
298	0.8260547742	0.4789585351
299	0.8253145818	0.4788535248
300	0.8253145818	0.4787798897
301	0.8253145818	0.4786899324
302	0.8260547742	0.478616486
303	0.8260547742	0.4785639235
304	0.8260547742	0.4784948772
305	0.8267949667	0.4784418931
306	0.8253145818	0.4783572478
307	0.8260547742	0.4782779182
308	0.8260547742	0.4782135732
309	0.8260547742	0.4781232317
310	0.8260547742	0.4780564825
311	0.8260547742	0.477997619
312	0.8253145818	0.4779059666
313	0.8253145818	0.4778026621
314	0.8253145818	0.4777145588
315	0.8253145818	0.4776323836
316	0.8253145818	0.4775559292
317	0.8253145818	0.4774798894
318	0.8253145818	0.4773958982
319	0.8253145818	0.4773130306
320	0.8253145818	0.4772298303
321	0.8253145818	0.4771158516
322	0.8253145818	0.4770459458
323	0.8253145818	0.4769373482
324	0.8253145818	0.4768614832
325	0.8253145818	0.4768032578
326	0.8253145818	0.4767169856
327	0.8253145818	0.4766562452
328	0.8253145818	0.4766044344
329	0.8253145818	0.4764973465
330	0.8245743893	0.4763935613
331	0.8245743893	0.4763401117
332	0.8245743893	0.4762725063
333	0.8245743893	0.4762135474
334	0.8245743893	0.4761276949
335	0.8245743893	0.4760674472
336	0.8245743893	0.4759986094
337	0.8245743893	0.4759466891
338	0.8245743893	0.4758675865
339	0.8245743893	0.4758180168
340	0.8245743893	0.475731925
341	0.8245743893	0.4756762934
342	0.8245743893	0.4756476387
343	0.8245743893	0.4755698034
344	0.8245743893	0.4754899705
345	0.8245743893	0.4754083393
346	0.8238341969	0.4753188906
347	0.8238341969	0.4752235219
348	0.8238341969	0.4751761018
349	0.8245743893	0.4750950066
350	0.8230940044	0.4750174081
351	0.8238341969	0.4749401622
352	0.8238341969	0.4748732572
353	0.8238341969	0.4747929877
354	0.8238341969	0.4747234189
355	0.8238341969	0.4746374611
356	0.8238341969	0.4745912277
357	0.8238341969	0.4745039967
358	0.8238341969	0.4744548687
359	0.8238341969	0.4744031586
360	0.8238341969	0.4743435938
361	0.8238341969	0.4742936877
362	0.8238341969	0.4742299326
363	0.8238341969	0.4741649996
364	0.8238341969	0.4741090633
365	0.8238341969	0.4740655766
366	0.8245743893	0.473996667
367	0.8238341969	0.473908976
368	0.8238341969	0.4738623518
369	0.8238341969	0.4737899784
370	0.8238341969	0.4737462786
371	0.8238341969	0.4736822794
372	0.8238341969	0.4736476927
373	0.8238341969	0.4735501023
374	0.8238341969	0.4735067153
375	0.8245743893	0.4734400755
376	0.8245743893	0.4733839761
377	0.8245743893	0.4733450255
378	0.8245743893	0.4732943519
379	0.8245743893	0.4732417296
380	0.8245743893	0.4731848963
381	0.8245743893	0.4731183793
382	0.8238341969	0.4730544772
383	0.8238341969	0.472993791
384	0.8238341969	0.4729278431
385	0.8238341969	0.4728622446
386	0.8238341969	0.4727800096
387	0.8238341969	0.4727573613
388	0.8238341969	0.4727113986
389	0.8238341969	0.4726648448
390	0.8238341969	0.4726240528
391	0.8238341969	0.4725634508
392	0.8238341969	0.4725072333
393	0.8238341969	0.4724610201
394	0.8238341969	0.4724101579
395	0.8238341969	0.4723631174
396	0.8238341969	0.4722913835
397	0.8238341969	0.4722276726
398	0.8238341969	0.4721612435
399	0.8238341969	0.4721089293
400	0.8238341969	0.4720481269
401	0.8238341969	0.4719880607
402	0.8238341969	0.4719113566
403	0.8238341969	0.4718222938
